0.wav,"Startup sound"
140.wav,"New environment is detected. Returning to the self-wash base."
141.wav,"Mop pad error. Please check and clean it."
142.wav,"Mop pad worn out. Please replace it timely."
143.wav,"Cleaning completed."
144.wav,"Mopping completed."
145.wav,"Positioning successful. Resume cleaning."
146.wav,"Positioning successful. Resume mopping."
148.wav,"Return to the base for self-cleaning."
149.wav,"Unable to reach the specified area. Please try to clear obstacles in the path."
150.wav,"Unable to reach the specified area. Please try to delete no-go zones in the path."
151.wav,"The path is blocked. Please try to clear obstacles around your robot."
152.wav,"The path is blocked. Please try to delete no-go zones or move your robot out of this area."
153.wav,"Your robot is detected in the no-go zone. Please move your robot out of this area."
154.wav,"Operated too frequently. Please try again later."
155.wav,"Start to return to the charging and the mop cleaning dock."
156.wav,"Mop pad tray uninstalled."
157.wav,"Am already at the charging and the mop cleaning dock."
200.wav,"Shutdown sound"
