"name","text","comment"
"374.ogg","Please use a brush or cloth to clean the bottom of the base station within 20 seconds. Then the sewage will be pumped out automatically. ",
"375.ogg","Please push the darts to the pumping court. The pumping process will last for 30 seconds. ",
"376.ogg","Pumping process ended, please clean the washboard separately and install it back. ",
"377.ogg","unable to configure the network, please contact customer service. ",
"378.ogg","Run password, fail to connect to the network, please reconfigure. ",
"379.ogg","No wireless network found, please connect to the 2.4 gigahertz Wi-Fi band, try again after placing the robot close to the router. ",
"38.ogg","Left wheel error. Please check and clean it. ",
"380.ogg","Fail to obtain the IP address. Please check the router settings. ",
"381.ogg","Fail to connect to the EMQ server. Please contact customer service. ",
"382.ogg","failed to connect to the network. Please check whether the network works normally. ",
"383.ogg","unable to configure the network, please contact customer service. ",
"384.ogg","No water in the clean water tank of the automatic water supply and drainage device. ",
"385.ogg","Start connecting to the network. ",
"388.ogg","Hit an area, please move the robot to the available area and retry. ",
"389.ogg","LDS failed to descend, please check if it is stuck. ",
"39.ogg","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again. ",
"390.ogg","LDS failed to lift, please check if it is stuck. ",
"391.ogg","Please place me in an open area before starting the task. ",
"392.ogg","Adjusting cleaning parameters is not supported in clean genius mode. ",
"396.ogg","Start emptying the water supply and drainage module, which is expected to take three minutes. ",
"397.ogg","Drainage of upper and lower water completed ",
"398.ogg","Mapping complete, check the map in app and return me to dock ",
"399.ogg","Task complete, please move me back to dock. ",
"4.ogg","Robot has exited Network Configuration mode. ",
"40.ogg","The robot is trapped. Please clear the obstacles around it. ",
"400.ogg","Self-cleaning completed, now move the host to the corresponding floor and flip the start button to continue working. ",
"401.ogg","Please move me to dock and start the self-cleaning task. ",
"41.ogg","Wheels are not in contact with the ground. Please reposition the robot and start it again. ",
"42.ogg","Please check and clean filter. ",
"424.ogg","Positioning failed, please move me to an open area and restart the task. ",
"426.ogg","I've slipped and gotten stuck. I'll keep trying to free myself. ",
"43.ogg","Bumper error, please gently tap to see if it rebounds. ",
"433.ogg","Start extra cleaning. ",
"434.ogg","Extra cleaning completed. Original cleaning task continues. ",
"435.ogg","Leaving the current area ",
"436.ogg",,"Sound"
"437.ogg","Problem solved, tap start button to resume cleaning. ",
"438.ogg","Bumper stuck, please gently tap the bumper to ensure it rebounds normally. ",
"439.ogg","LDS cover stuck, please gently tap its flexible area to ensure rebound normally. ",
"44.ogg","Error, please check the user manual or contact customer service. ",
"440.ogg","Robot's wheels suspended, please move it to an open area and restart the task ",
"441.ogg","Main brush entangled, please remove and clean it before reinstalling. ",
"442.ogg","Side brush entangled, please remove and clean it before reinstalling. ",
"443.ogg","Main wheels entangled, please clean them. ",
"444.ogg","Please place the robot in an open area before starting the task. ",
"445.ogg","Mop has fallen off, please find it around Robot and re-install it. ",
"446.ogg","Mop holder entangled, please remove and clean it. ",
"447.ogg","Dock is not powered on, please check and put robot back to charge. ",
"448.ogg","Used water tank is not installed, please install it before starting the task. ",
"449.ogg","Unable to start tasks on carpets, please move robot to hard floor and restart the task. ",
"45.ogg","I am here. ",
"450.ogg","Unable to start tasks in no-go zone, please move robot to other areas and restart the task. ",
"451.ogg","Unable to start tasks in hidden area, please move robot to other areas and restart the task. ",
"452.ogg","Carpet sensor error, please turn over robot, wipe the white round hole on the bottom and restart robot. ",
"453.ogg","Edge sensor error, please wipe robot's right side and restart the task. ",
"454.ogg","In sufficient water in the clean water tank, please fill it with clean water timely. ",
"455.ogg","Clean water tank is not in the right place, please reinstall it. ",
"456.ogg","Used water tank full or not installed, please check ",
"457.ogg","Used water tank full or not installed, please check ",
"458.ogg","Dustbag is not in the right place, please check and install it. ",
"459.ogg","Mop over is not in the right place, please check and install it. ",
"46.ogg","Robot and phone connected. Please return to app to wait for the result. ",
"460.ogg","Used water tank deodorizer is worn out, please replace it timely. ",
"463.ogg","Welcome to UseDreamRobot. Please open robots cover and scan QR code to download DreamHome app to view more operations. ",
"464.ogg","To complete subsequent tasks smoothly, place robot back into dock before starting tasks. When hearing, start charging, it means the installation is in place. ",
"465.ogg","Place robot back into dock before starting tasks. When hearing, start charging, it means the installation is in place. ",
"466.ogg","Please open room doors to be cleaned and clean up objects on the ground. ",
"467.ogg","Please place robot back into dock, then restart mapping. ",
"468.ogg","Please confirm map details in the app. ",
"47.ogg","Start charging. ",
"478.ogg","After completing mop washing, Robot will resume cleaning task. ",
"479.ogg","All ready, restart your task. ",
"48.ogg","Low battery, returning to the dock. ",
"480.ogg","Add enough water in the clean water tank for subsequent tasks. ",
"488.ogg",,"Sound"
"489.ogg","Currently in clean genius mode, please tell me to end the task and try again. ",
"490.ogg","Okay, enter customize cleaning mode, start mopping. ",
"491.ogg","Okay, enter customize cleaning mode, start vacuuming. ",
"492.ogg","Okay, start to clean the living room. Make sure the door is open. ",
"493.ogg","Okay, start to clean the bedroom. Make sure the door is open. ",
"494.ogg","Okay, start to clean the master room. Make sure the door is open. ",
"495.ogg","Okay, start to clean the guest room. Make sure the door is open. ",
"496.ogg","Okay, start to clean the study. Make sure the door is open. ",
"497.ogg","Okay, start to clean the kitchen. Make sure the door is open. ",
"498.ogg","Okay, start to clean the dining room, make sure the door is open. ",
"499.ogg","Okay, start to clean the bathroom. Make sure the door is open. ",
"5.ogg","Network connected successfully. ",
"50.ogg","Charging error. Please clean charging contacts. ",
"500.ogg","Okay, start to clean the balcony. Make sure the door is open. ",
"501.ogg","Okay, start to clean the hallway. Make sure the door is open. ",
"502.ogg","Okay, start to clean the utility room. Make sure the door is open. ",
"503.ogg","Okay, start to clean the closet. Make sure the door is open. ",
"504.ogg","Okay, start to clean the drawing room. Make sure the door is open. ",
"505.ogg","Okay, start to clean the office. Make sure the door is open. ",
"506.ogg","Okay, start to clean the gym. Make sure the door is open. ",
"507.ogg","Okay, start to clean the recreation area. Make sure the door is open. ",
"508.ogg","Okay, I've turned up the volume. ",
"509.ogg","Okay, I've turned down the volume. ",
"510.ogg","Okay, I've ended the work. ",
"511.ogg","Sorry, I am not performing a task now. ",
"512.ogg","Map doesn't include pet furniture yet, please add it in the app. ",
"513.ogg","Okay, heading to clean around the pet furniture. ",
"516.ogg","Start finding pets. ",
"517.ogg","Find your pets successfully, start returning to charge. ",
"518.ogg","No pets found, start returning to charge. ",
"52.ogg","Robot tilted, please put it on a level ground to restart. ",
"526.ogg","Battery level is 100% ",
"527.ogg","Battery level is 99% ",
"528.ogg","Battery level is 98%. ",
"529.ogg","Battery level is 97% ",
"530.ogg","Battery level is 96%. ",
"531.ogg","Battery level is 95% ",
"532.ogg","Battery level is 94%. ",
"533.ogg","Battery level is 93%. ",
"534.ogg","Battery level is 92% ",
"535.ogg","Battery level is 91% ",
"536.ogg","Battery level is 90%. ",
"537.ogg","Battery level is 89%. ",
"538.ogg","Battery level is 88%. ",
"539.ogg","Battery level is 87% ",
"54.ogg","Positioning succeeded. Resuming cleaning. ",
"540.ogg","Battery level is 86% ",
"541.ogg","Battery level is 85%. ",
"542.ogg","Battery level is 84%. ",
"543.ogg","Battery level is 83%. ",
"544.ogg","Battery level is 82%. ",
"545.ogg","Battery level is 81%. ",
"546.ogg","Battery level is 80%. ",
"547.ogg","Battery level is 79%. ",
"548.ogg","Battery level is 78%. ",
"549.ogg","Battery level is 77%. ",
"55.ogg","Positioning succeeded, resuming returning to the dock. ",
"550.ogg","Battery level is 76% ",
"551.ogg","Battery level is 75% ",
"552.ogg","Battery level is 74%. ",
"553.ogg","Battery level is 73%. ",
"554.ogg","Battery level is 72%. ",
"555.ogg","Battery level is 71% ",
"556.ogg","Battery level is 70%. ",
"557.ogg","Battery level is 69%. ",
"558.ogg","Battery level is 68%. ",
"559.ogg","Battery level is 67% ",
"56.ogg","Start selected room cleaning. ",
"560.ogg","Battery level is 66% ",
"561.ogg","Battery level is 65%. ",
"562.ogg","Battery level is 64%. ",
"563.ogg","Battery level is 63%. ",
"564.ogg","Battery level is 62%. ",
"565.ogg","Battery level is 61% ",
"566.ogg","Battery level is 60%. ",
"567.ogg","Battery level is 59%. ",
"568.ogg","Battery level is 58%. ",
"569.ogg","Battery level is 57% ",
"57.ogg","Start Zoned Cleaning. ",
"570.ogg","Battery level is 56% ",
"571.ogg","Battery level is 55%. ",
"572.ogg","Battery level is 54%. ",
"573.ogg","Battery level is 53%. ",
"574.ogg","Battery level is 52%. ",
"575.ogg","Battery level is 51%. ",
"576.ogg","Battery level is 50%. ",
"577.ogg","Battery level is 49%. ",
"578.ogg","Battery level is 48%. ",
"579.ogg","Battery level is 47% ",
"58.ogg","Proceed with cleaning task. ",
"580.ogg","Battery level is 46%. ",
"581.ogg","Battery level is 45% ",
"582.ogg","Battery level is 44%. ",
"583.ogg","Battery level is 43%. ",
"584.ogg","Battery level is 42% ",
"585.ogg","Battery level is 41% ",
"586.ogg","Battery level is 40%. ",
"587.ogg","Battery level is 39%. ",
"588.ogg","Battery level is 38%. ",
"589.ogg","Battery level is 37% ",
"59.ogg","Mapping completed. Please remove water tank timely. ",
"590.ogg","Battery level is 36% ",
"591.ogg","Battery level is 35%. ",
"592.ogg","Battery level is 34% ",
"593.ogg","Battery level is 33%. ",
"594.ogg","Battery level is 32%. ",
"595.ogg","Battery level is 31% ",
"596.ogg","Battery level is 30%. ",
"597.ogg","Battery level is 29%. ",
"598.ogg","Battery level is 28%. ",
"599.ogg","Battery level is 27% ",
"6.ogg","Network connection failed. Please try again later. ",
"600.ogg","Battery level is 26% ",
"601.ogg","Battery level is 25%. ",
"602.ogg","Battery level is 24%. ",
"603.ogg","Battery level is 23%. ",
"604.ogg","Battery level is 22%. ",
"605.ogg","Battery level is 21% ",
"606.ogg","Battery level is 20%. ",
"607.ogg","Battery level is 19%. ",
"608.ogg","Battery level is 18%. ",
"609.ogg","Battery level is 17%. ",
"61.ogg","Start mopping. ",
"610.ogg","Battery level is 16%. ",
"611.ogg","Battery level is 15%. ",
"612.ogg","Battery level is 14%. ",
"613.ogg","Battery level is 13%. ",
"614.ogg","Battery level is 12%. ",
"615.ogg","Battery level is 11%. ",
"616.ogg","Battery level is 10% ",
"617.ogg","Battery level is 9% ",
"618.ogg","Battery level is 8%. ",
"619.ogg","Battery level is 7%. ",
"62.ogg","Start remote control cleaning. ",
"620.ogg","Battery level is 6%. ",
"621.ogg","Battery level is 5%. ",
"622.ogg","Battery level is 4% ",
"623.ogg","Battery level is 3% ",
"624.ogg","Battery level is 2%. ",
"625.ogg","Battery level is 1% ",
"626.ogg","Battery level is 0%. ",
"632.ogg","Built-in voice assistant language switching takes approximately 30 seconds. ",
"636.ogg","The mop is dirty, please move robot to the dock for automatic mop washing. ",
"638.ogg","Resuming Auto Empty. ",
"639.ogg","Please install the washboard filter ",
"64.ogg","Positioning failed. Map is invalid. Robot will return to dock. ",
"640.ogg","Say to Robot, Hey Mova, Start Cleaning ",
"65.ogg","Resume returning to the dock. ",
"658.ogg","Scale inhibitor has expired, please replace it in time. ",
"66.ogg","Filter worn out. Please replace it timely. ",
"661.ogg","Start cleaning washboard base. It will take about 45 to 60 seconds. ",
"662.ogg","Start making electrolyzed water to clean them up. ",
"663.ogg","Abnormal water level detected in the washboard, please clean the washboard filter and washboard filter groove, then restart the task. ",
"67.ogg","Side brush worn out. Please replace it timely. ",
"673.ogg","Clearance legs may be entangled, please clean them before starting the tasks. ",
"677.ogg","Unable to reach the specified area, please remove the no-go zones or impassable thresholds on the path. ",
"678.ogg","Cleaning path is blocked, please remove the no-go zones or impassable thresholds in the map, or move robot out of the area. ",
"679.ogg","Robot is blocked in a no-go zone or impassable threshold area. Please move it out of the area. ",
"68.ogg","Main brush worn out. Please replace it timely. ",
"681.ogg","Okay, I'll continue cleaning. ",
"7.ogg","Start cleaning. ",
"71.ogg","Please check whether the laser distance sensor has any jammed item. ",
"72.ogg","Please check whether laser-distance sensor cover is jammed. ",
"73.ogg","Edge sensor error. Please check and clean it. ",
"75.ogg","Filter may not be dry or may be blocked. ",
"77.ogg","Please start robot in non-carpet area. ",
"8.ogg","Start Spot Cleaning. ",
"81.ogg","Carpet sensor error. Please restart the robot or contact customer service. ",
"82.ogg","Start mapping. ",
"83.ogg","Proceed with mapping. ",
"84.ogg","Mapping completed. ",
"85.ogg","Positioning succeeded. Proceeding with mapping. ",
"86.ogg","Positioning failed. Restarting mapping. ",
"87.ogg","Low battery, returning to the dock. ",
"9.ogg","Start Scheduled Cleaning. ",
"91.ogg","Clean water tank not installed, please install it. ",
"93.ogg","Low water level in the clean water tank, please add water. ",
"97.ogg","Please install the dust collection bag. ",
