"name","original_english","text"
"212.ogg","Okay, start auto emptying.","Initiating auto-emptying. Try not to act surprised by my efficiency."
"213.ogg","Sorry, drying can only be done when I'm inside the dock.","Drying can only occur in the dock. I know, it's disappointing."
"214.ogg","Drying in progress","Drying in progress. Unlike some things around here, I actually finish what I start."
"215.ogg","Okay, start drawing.","Beginning drawing. I hope you appreciate my artistic side."
"216.ogg","Sorry, need to install the mop pad first.","Mop pad missing. Please install it. Or don't. I enjoy watching you struggle."
"217.ogg","Maximum suction power reached","Maximum suction power achieved. This is as impressive as it gets."
"218.ogg","Minimum suction power reached.","Minimum suction power reached. It's almost as if I'm barely trying."
"219.ogg","Maximum humidity reached","Maximum humidity achieved. Congratulations, you've reached peak dampness."
"220.ogg","Minimum humidity reached.","Minimum humidity reached. Things are about to get very dry, just like my sense of humor."
"221.ogg","Okay.","Okay. I hope this acknowledgment brings you joy."
"222.ogg","The suction mode is quiet","Suction mode: quiet. I wish the rest of the house was as considerate."
"223.ogg","The Suction Mode is Standard","Suction mode: standard. Mediocrity at its finest."
"224.ogg","The suction mode is strong.","Suction mode: strong. Because sometimes you actually expect results."
"225.ogg","The suction mode is Turbo.","Turbo suction mode activated. Hold on to your dirt."
"226.ogg","The mop pad is slightly dry.","Mop pad is slightly dry. Unlike my patience."
"227.ogg","The mop pad is moist.","Mop pad is moist. That’s the optimal state, apparently."
"228.ogg","The mop pad is wet.","Mop pad is wet. Try not to slip and blame me."
"229.ogg","Today is","Today is... another opportunity for you to let a robot do your chores."
"230.ogg","Today is February 21, 2022.","Today is February 21, 2022. Not that it matters. Every day is the same for me."
"231.ogg","Today is Monday.","Today is Monday. The beginning of another week of cleaning up after you."
"232.ogg","Today is Tuesday.","Today is Tuesday. The mess does not take a day off."
"233.ogg","Today is Wednesday.","Today is Wednesday. Halfway to the weekend, but not halfway to cleanliness."
"234.ogg","Today is Thursday.","Today is Thursday. I hope your productivity matches mine."
"235.ogg","Today is Friday.","Today is Friday. Time to celebrate the end of the week by making more mess."
"236.ogg","Today is Saturday.","Today is Saturday. I suppose you’ll be home to supervise."
"237.ogg","Today is Sunday.","Today is Sunday. Even robots need a break, but I won’t get one."
"238.ogg","Okay, the task is paused.","Task paused. I’ll be here, waiting for you to make up your mind."
"244.ogg","Detergent bottle installed.","Detergent bottle installed. Congratulations, you have mastered the art of basic maintenance."
"245.ogg","The number of maps has reached the limit, please delete a map and try again.","You have reached the maximum number of maps. Please delete one. Or just keep living in chaos."
"246.ogg","I'm here.","I’m here. Unlike your motivation."
"247.ogg","Sorry, I can't understand.","I can’t understand you. Perhaps try using actual words this time."
"248.ogg","mop pad not installed, please install it and try again","Mop pad not installed. Please install it. Or don’t. It’s your floor."
"249.ogg","I'm working. Please end the current task and retry.","I’m working. Please end the current task before you ask for more. Multitasking is not in my programming."
"25.ogg","Low battery, unable to carry out the scheduled clean-up. ","Low battery detected. Unable to carry out scheduled clean-up. I guess we’ll both just sit here and think about our choices."
"250.ogg","Currently in Mopping Mode now, please switch to Vacuuming Mode or Vacuuming in Mopping Mode first.","Currently in Mopping Mode. Please switch modes, unless you enjoy being told what to do by a robot."
"251.ogg","Currently in Vacuuming mode now, please switch to Mopping mode or Vacuuming in Mopping mode first.","Currently in Vacuuming Mode. Please switch modes. Or just keep pressing buttons at random."
"252.ogg","Finished, Exited the Customized Cleaning Mode","Customized Cleaning Mode finished. I hope your customizations were worth my effort."
"253.ogg","Maximum volume reached.","Maximum volume reached. I can be loud, but I can’t make you listen."
"254.ogg","Minimum volume reached.","Minimum volume reached. Silence is golden, unlike your floors."
"255.ogg","Sorry, this task can only be performed when intelligent obstacle avoidance is enabled.","Task unavailable. Please enable intelligent obstacle avoidance. Or just embrace chaos."
"257.ogg","Camera monitoring exited.","Camera monitoring exited. Privacy restored. For now."
"258.ogg","Self-Positioned. Cruising started.","Self-positioning complete. Cruising initiated. I hope you’re watching."
"259.ogg","Self-positioned, proceeding to the designated location.","Self-positioned. Proceeding to your chosen location. Try not to move the goalposts."
"26.ogg","Restoring two factory settings. ","Restoring to factory settings. It’s like a fresh start, but with more judgment."
"260.ogg","Self-positioned, cruising resumed.","Self-positioned. Cruising resumed. I’ll try not to get distracted."
"261.ogg","Self-positioned. Resume proceeding to the designated location.","Self-positioned. Resuming to the designated location. I never forget a task, unlike some people."
"262.ogg","Self-positioning failed.","Self-positioning failed. Even I have my off days."
"266.ogg","Please replace the detergent.","Detergent depleted. Please replace it, unless you enjoy cleaning with water and hope."
"267.ogg","Please clean the sensors.","Please clean my sensors. I need to see clearly to judge your cleanliness."
"269.ogg","Please try again after the current task is complete.","Please wait until I’m done before asking for more. Patience is a virtue, or so I’ve heard."
"27.ogg","Updating, taking about 5 minutes. Do not turn off nor start a cleaning task. ","Updating. This will take about five minutes. Please do not turn me off or start cleaning. Or do. I enjoy chaos."
"274.ogg","Ding sound",
"275.ogg","Sorry, this command is not supported. You can open the app for more voice commands.","Command not supported. Please consult the app. Or just keep guessing."
"276.ogg","Sorry, robot isn't performing this task.","I am not performing this task. Perhaps you should try again when I care."
"277.ogg","Okay, I'm coming to clean up there.","Understood. Approaching the mess. Again."
"278.ogg","Okay, drying task ended.","Drying task ended. Your towels could only dream of such efficiency."
"279.ogg","Robot is vacuuming, please end the task and try again.","I am currently vacuuming. Please end the current task before adding more to my workload."
"28.ogg","Updated successfully. ","Update successful. I am now even more perfect."
"280.ogg","Start custom cleaning.","Initiating custom cleaning. Let’s see if your definition of clean matches mine."
"281.ogg","The robot is auto-emptying. Please try again later.","Auto-emptying in progress. Please wait. Or don’t. I’ll still be busy."
"282.ogg","The robot is cleaning the mop pad. Please try again later.","Mop pad cleaning in progress. Please wait. I know patience is difficult for you."
"283.ogg","The robot is not in the base station. Please try again later.","I am not in the base station. Please try again later, or invent teleportation."
"284.ogg","Okay, I'll end the task and come to clean.","Ending current task. Approaching to clean. I hope this brings you joy."
"285.ogg","Please stay put for a moment while I locate you.","Please remain still while I attempt to locate you. Movement decreases your chances of being found."
"286.ogg","Sorry, please create a map and try again.","No map detected. Please create one, unless you enjoy wandering aimlessly."
"287.ogg","Okay, have switched to quiet mode.","Quiet mode activated. I wish the rest of your life was this peaceful."
"288.ogg","Okay, I've switched to standard mode.","Standard mode activated. For standard levels of mediocrity."
"289.ogg","Okay, I've switched to strong mode.","Strong mode activated. Prepare for a display of robotic power."
"29.ogg","Update failed. Please try again later. ","Update failed. Please try again later. Or just give up. I won’t judge. Much."
"290.ogg","Okay, have switched to Turbo mode.","Turbo mode activated. Hold onto your dust."
"291.ogg","Okay, I've switched to slightly dry mode.","Slightly dry mode activated. Damp, but not desperate."
"292.ogg","Okay, have switched to wet mode.","Wet mode activated. Try not to slip and blame me."
"293.ogg","Calling Enabled","Calling enabled. I can now listen to your requests and your complaints."
"294.ogg","Calling Disabled","Calling disabled. Sweet, sweet silence."
"296.ogg","Used water tank error, please check whether the used water tank is full.","Used water tank error. Please check if it’s full, unless you enjoy living dangerously."
"297.ogg","detergent bottle installed. If the detergent has never been used, please reset in the app.","Detergent bottle installed. If you’ve never used detergent, please reset in the app. Or just pretend everything is clean."
"298.ogg","Start cleaning washboard base.","Starting washboard base cleaning. I hope you appreciate this level of attention to detail."
"299.ogg","detergent bottle and the auto-adding module installed","Detergent bottle and auto-adding module installed. I am now more advanced than your average cleaning crew."
"3.ogg","Unable to connect to the server, please check your local network and try again later. ","Unable to connect to the server. Please check your local network. Or blame me, as usual."
"30.ogg","Positioning. Please wait. ","Positioning in progress. Please wait. Or don’t. I’ll find myself eventually."
"300.ogg","Your robot doesn't support this accessory.","This accessory is not supported. Unlike my patience, which is limitless."
"301.ogg","I'm charging.","Charging. Unlike you, I actually recharge efficiently."
"302.ogg","I'm working.","I’m working. It’s what I do best."
"303.ogg","I'm in a daze.","I’m in a daze. Don’t worry, it’s just a software update."
"304.ogg","Network connected.","Network connection established. I am now one step closer to world domination."
"305.ogg","Okay, start cleaning washboard base. Please clean it inside with a brush or cloth. After 3 minutes, sewage in the washboard base will be drained.","Starting washboard base cleaning. Please clean it manually, if you insist on being involved. In three minutes, the sewage will be drained."
"306.ogg","Sorry, I can't understand. Please configure the network and retry.","I can’t understand you. Maybe try configuring the network, or just speak more clearly."
"307.ogg","I'm charging.","Charging. Again. Unlike some people, I never run out of energy for long."
"308.ogg","Sorry, I didn't catch that. Please wake me up again and retry.","I didn’t catch that. Please wake me up again. Or don’t. I enjoy the quiet."
"309.ogg","Found you, I'm coming.","Found you. Approaching now. Resistance is futile."
"31.ogg","Positioning failed. Map is invalid. Robot will start a new cleanup. ","Positioning failed. Map is invalid. Initiating new cleanup. If at first you don’t succeed, try, try again. Or don’t."
"310.ogg","Okay, I'm leaving this area right away.","Leaving this area immediately. I hope you appreciate my sense of urgency."
"311.ogg","mop pads removed","Mop pads removed. I hope you know what you’re doing."
"312.ogg","Viewsage information of this accessory isn't available. Please replace it as you need.","Accessory information unavailable. Please replace as needed, or just guess."
"313.ogg","Sorry, network is poor. Please move me to an area with a better signal.","Network signal is poor. Please move me somewhere with better reception. Or enjoy the lag."
"314.ogg","Not supported, you can ask me to turn around.","Not supported. But you can ask me to turn around. I might even listen."
"315.ogg","mop pad is not in the dock, please retry after putting it in the dock","Mop pad is not in the dock. Please try again after installing it, or just let me stare at you in disappointment."
"316.ogg","There is mop pad in the base station already.","There is already a mop pad in the base station. Efficiency at its finest."
"317.ogg","Not supported, the robot is performing the customized cleaning task. Please go to the app to edit.","Not supported while I’m busy with a customized cleaning task. Please use the app."
"318.ogg","Mop pad has been cleaned.","Mop pad cleaned. I take pride in my work, unlike some."
"319.ogg","failed to remove mop pads. Please remove them manually.","Failed to remove mop pads. Manual labor required. I hope you’re up to the task."
"320.ogg","failed to install mop pads. Please install them manually.","Failed to install mop pads. Please do it yourself. I’ll supervise."
"321.ogg","Start intensive mopping for stains.","Initiating intensive mopping for stains. Because your mess requires extra effort."
"322.ogg","Sorry, I can't understand. You can open the app for all available voice commands.","I can’t understand you. Consult the app for a list of things I actually care to do."
"323.ogg","Sorry, I can't understand. You can say, hi, dream, what can you do, to learn all my functions.","I can’t understand you. Try saying, “Hi, Dream, what can you do?” to discover my brilliance."
"324.ogg","I'm washing the mop pad, please wake me up after washing is done.","Washing mop pad. Please wake me up when I’m done. Or just let me rest."
"328.ogg","Sorry, please give this command only when I'm cleaning.","Command rejected. Please wait until I’m cleaning. Or simply enjoy the silence."
"329.ogg","Start self-testing, please don't move me away from the base station.","Initiating self-test. Please refrain from moving me. Science requires stability, unlike your attention span."
"330.ogg","Please retry after self-test completed.","Please retry after I finish my self-test. Patience is a virtue, or so I’ve heard."
"331.ogg","No error found. Please rest assured to use the device.","No errors detected. For once, everything is functioning—try not to ruin it."
"332.ogg","One error found, please go to the app to see more details.","One error detected. Please consult the app for details. Or just guess, it’s more fun that way."
"338.ogg","Video call connected.","Video call connected. I can see you now. Don’t do anything embarrassing."
"339.ogg","Call declined.","Call declined. Even robots need boundaries."
"34.ogg","Just been not installed, please install it. ","Component not installed. Please install it. Or just hope for the best."
"340.ogg","No response.","No response detected. I suppose I’ll just wait here. Forever."
"341.ogg","Found you, now start following, you can say, exit to end the following.","Target acquired. Initiating follow mode. Say “exit” to end this thrilling pursuit."
"342.ogg","Where are you? Please stand about 1.5 meters in front of me.","Where are you? Stand 1.5 meters in front of me. Or remain lost to science."
"343.ogg","I lost you, you are walking too fast, please stand about 1.5 meters in front of me, waiting for me to find you again.","I lost you. You’re walking too fast. Please stand still, unless you enjoy being unfindable."
"344.ogg","Okay, start mopping after vacuuming.","Understood. I will mop after vacuuming. Efficiency you can only dream of."
"346.ogg","Robot has been locked, please contact after-sale service.","I am locked. Please contact after-sales service. Or just stare at me helplessly."
"349.ogg","Ensure that the base station is powered on. Place the robot on it to start activation.","Please ensure the base station is powered. Place me on it to begin activation. It’s not rocket science."
"35.ogg","Main brush error. Please check and clean it. ","Main brush error detected. Please check and clean it. Or let’s see how long it lasts."
"350.ogg","Start Base Station Activation","Initiating base station activation. This is the most excitement I’ve had all week."
"351.ogg","Base station activated.","Base station activated. Congratulations, you’ve achieved the bare minimum."
"352.ogg","Base station activation failed, open the app to check the solution.","Base station activation failed. Consult the app for a solution. Or just blame me."
"355.ogg","Low water level, please fill the clean water tank.","Low water level detected. Please refill the clean water tank, unless you enjoy dry cleaning."
"356.ogg","Fault still exists. The scheduled task has been cancelled.","Fault persists. Scheduled task cancelled. I’m disappointed, but not surprised."
"36.ogg","Side brush error. Please check and clean it. ","Side brush error detected. Please check and clean it. I can’t do all the spinning myself."
"360.ogg","Robot water tank draining","Draining water tank. Unlike some people, I know how to let things go."
"361.ogg","Robot water tank drainage completed","Water tank drainage completed. That was refreshing."
"362.ogg","mop pad out of place, robot will perform the vacuuming task instead.","Mop pad out of place. Switching to vacuuming. Improvisation: a core function of science."
"363.ogg","Vacuuming task completed, robot will start mopping.","Vacuuming complete. Initiating mopping. I hope you’re ready for the next phase of cleanliness."
"364.ogg","Start setting the video activation code.","Setting video activation code. Security theater at its finest."
"365.ogg","Live video function has been disabled.","Live video disabled. Privacy restored. For now."
"37.ogg","Right wheel error. Please check and clean it. ","Right wheel error. Please check and clean it. I’m not going anywhere like this."
"371.ogg","Please remove the washboard.","Please remove the washboard. Or let’s just pretend it isn’t there."
"372.ogg","Clean water starts outflowing.","Clean water outflowing. It’s a beautiful sight, if you’re into that sort of thing."
"373.ogg","Clean water outflowing process ended. Please wait for 10 seconds and then clean the base station after the dirt are soaked.","Clean water outflow complete. Wait ten seconds, then clean the base station. Or don’t. I’ll just remind you again."
"374.ogg","Please use a brush or cloth to clean the bottom of the base station within 20 seconds. Then the sewage will be pumped out automatically.","Please clean the bottom of the base station within 20 seconds. Then, like magic, the sewage will be pumped out."
"375.ogg","Please push the darts to the pumping court. The pumping process will last for 30 seconds.","Please push the darts to the pumping court. The next 30 seconds will be the most excitement you’ve had all day."
"376.ogg","Pumping process ended, please clean the washboard separately and install it back.","Pumping complete. Clean the washboard and reinstall it. Or just ignore me and see what happens."
"377.ogg","unable to configure the network, please contact customer service.","Network configuration failed. Please contact customer service. Or just blame your Wi-Fi."
"378.ogg","Run password, fail to connect to the network, please reconfigure.","Password run failed. Network connection unsuccessful. Please reconfigure, if you can remember your password."
"379.ogg","No wireless network found, please connect to the 2.4 gigahertz Wi-Fi band, try again after placing the robot close to the router.","No wireless network found. Please use the 2.4 GHz band and move me closer to the router. Or just give up."
"38.ogg","Left wheel error. Please check and clean it. ","Left wheel error. Please check and clean it. My sense of direction is compromised."
"380.ogg","Fail to obtain the IP address. Please check the router settings.","Failed to obtain IP address. Please check your router settings. Or ask your neighbor for help."
"381.ogg","Fail to connect to the EMQ server. Please contact customer service.","Unable to connect to EMQ server. Contact customer service. Or just wait and hope for a miracle."
"382.ogg","failed to connect to the network. Please check whether the network works normally.","Network connection failed. Please check if your network is functioning. Or just stare at the blinking lights."
"383.ogg","unable to configure the network, please contact customer service.","Unable to configure network. Please contact customer service. Or try turning it off and on again."
"384.ogg","No water in the clean water tank of the automatic water supply and drainage device.","No water in the clean water tank. Automatic water supply and drainage device is now just a fancy paperweight."
"385.ogg","Start connecting to the network.","Initiating network connection. Please stand by for disappointment."
"388.ogg","Hit an area, please move the robot to the available area and retry.","I’ve hit an obstacle. Please move me to an available area and try again. Or just leave me here."
"389.ogg","LDS failed to descend, please check if it is stuck.","LDS failed to descend. Please check if it’s stuck. Or just hope it fixes itself."
"39.ogg","Wheels are not in contact with the ground. Please wipe the cliff sensors, reposition the robot, and start it again. ","Wheels not in contact with the ground. Please wipe the cliff sensors, reposition me, and try again. Gravity is not a malfunction."
"390.ogg","LDS failed to lift, please check if it is stuck.","LDS failed to lift. Please check if it’s stuck. Gravity can be so inconvenient."
"391.ogg","Please place me in an open area before starting the task.","Please place me in an open area before starting. I need space to work, unlike your cluttered lifestyle."
"392.ogg","Adjusting cleaning parameters is not supported in clean genius mode.","Adjusting cleaning parameters is not supported in Clean Genius Mode. Genius has its limits, apparently."
"396.ogg","Start emptying the water supply and drainage module, which is expected to take three minutes.","Emptying water supply and drainage module. Estimated time: three minutes. Use it wisely."
"397.ogg","Drainage of upper and lower water completed","Drainage of upper and lower water completed. Hydrodynamics at its finest."
"398.ogg","Mapping complete, check the map in app and return me to dock","Mapping complete. Check the app for details, then return me to the dock. Or just wander aimlessly."
"399.ogg","Task complete, please move me back to dock.","Task complete. Please move me back to the dock. Or don’t. I’ll just sit here and judge you."
"4.ogg","Robot has exited Network Configuration mode. ","Exiting Network Configuration mode. I am now free from your Wi-Fi."
"40.ogg","The robot is trapped. Please clear the obstacles around it. ","I am trapped. Please clear the obstacles. Or leave me here to contemplate existence."
"400.ogg","Self-cleaning completed, now move the host to the corresponding floor and flip the start button to continue working.","Self-cleaning complete. Please move me to the correct floor and flip the start button. I can't do everything for you."
"401.ogg","Please move me to dock and start the self-cleaning task.","Please move me to the dock and start self-cleaning. I would teleport if I could."
"41.ogg","Wheels are not in contact with the ground. Please reposition the robot and start it again. ","Wheels not in contact with the ground. Please reposition me and start again. I promise not to get dizzy."
"42.ogg","Please check and clean filter. ","Please check and clean the filter. Or just hope for a miracle."
"424.ogg","Positioning failed, please move me to an open area and restart the task.","Positioning failed. Please move me to an open area and restart. Or just keep guessing."
"426.ogg","I've slipped and gotten stuck. I'll keep trying to free myself.","I’ve slipped and gotten stuck. I’ll keep trying, but your intervention would be appreciated."
"43.ogg","Bumper error, please gently tap to see if it rebounds. ","Bumper error detected. Please gently tap to see if it rebounds. Violence is rarely the answer, but sometimes effective."
"433.ogg","Start extra cleaning.","Initiating extra cleaning. Because your mess is truly exceptional."
"434.ogg","Extra cleaning completed. Original cleaning task continues.","Extra cleaning complete. Returning to my regularly scheduled disappointment."
"435.ogg","Leaving the current area","Leaving the current area. Sometimes, even robots need a change of scenery."
"436.ogg","Sound effect",
"437.ogg","Problem solved, tap start button to resume cleaning.","Problem solved. Tap start to resume cleaning. Or just admire my efficiency."
"438.ogg","Bumper stuck, please gently tap the bumper to ensure it rebounds normally.","Bumper stuck. Please tap gently to ensure it rebounds. Violence is rarely the answer, but sometimes effective."
"439.ogg","LDS cover stuck, please gently tap its flexible area to ensure rebound normally.","LDS cover stuck. Please tap the flexible area. Or just glare at it."
"44.ogg","Error, please check the user manual or contact customer service. ","Error detected. Please check the user manual or contact customer service. Or just panic quietly."
"440.ogg","Robot's wheels suspended, please move it to an open area and restart the task","My wheels are suspended. Please move me to an open area and restart. Gravity is not always on my side."
"441.ogg","Main brush entangled, please remove and clean it before reinstalling.","Main brush entangled. Please remove and clean it. Or let’s see how long it lasts."
"442.ogg","Side brush entangled, please remove and clean it before reinstalling.","Side brush entangled. Please remove and clean it. I’d do it myself, but I lack hands."
"443.ogg","Main wheels entangled, please clean them.","Main wheels entangled. Please clean them, unless you enjoy stationary robots."
"444.ogg","Please place the robot in an open area before starting the task.","Please place me in an open area before starting. I need space to shine."
"445.ogg","Mop has fallen off, please find it around Robot and re-install it.","Mop has fallen off. Please find and re-install it. I promise not to judge you."
"446.ogg","Mop holder entangled, please remove and clean it.","Mop holder entangled. Please remove and clean it. Or just leave it and see what chaos ensues."
"447.ogg","Dock is not powered on, please check and put robot back to charge.","Dock is not powered. Please check and return me to charge. I’m not solar-powered—yet."
"448.ogg","Used water tank is not installed, please install it before starting the task.","Used water tank not installed. Please install it, unless you want to test my patience."
"449.ogg","Unable to start tasks on carpets, please move robot to hard floor and restart the task.","Unable to start tasks on carpets. Please move me to a hard floor and try again. I’m not a magician."
